//antworten
//id-kategorie; id-frage; id-antwort; antwort; richtig
1; 1; 1; paul; 0
1; 1; 2; david; 0
1; 1; 3; finja; 1
1; 1; 4; samsung; 0
1; 2; 1; lea; 0
1; 2; 2; amuro; 1
1; 2; 3; pikachu; 0
1; 2; 4; morgan; 0
1; 3; 1; 5; 0
1; 3; 2; 10; 1
1; 3; 3; 3; 0
1; 3; 4; 1; 0
1; 4; 1; 24.12.; 0
1; 4; 2; 01.05.; 0
1; 4; 3; 22.12.; 0
1; 4; 4; 31.01.; 1
1; 5; 1; Berlin; 1
1; 5; 2; Rom; 0
1; 5; 3; Madrid; 0
1; 5; 4; Leipzig; 0
1; 6; 1; Fluffy; 0
1; 6; 2; Mietze; 1
1; 6; 3; Klaus; 0
1; 6; 4; Mistgurke; 0
2; 1; 1; 120; 1
2; 1; 2; 110; 0
2; 1; 3; 100; 0
2; 1; 4; 130; 0
2; 2; 1; 720; 1
2; 2; 2; 740; 0
2; 2; 3; 710; 0
2; 2; 4; 750; 0
2; 3; 1; 5040; 1
2; 3; 2; 5020; 0
2; 3; 3; 5060; 0
2; 3; 4; 5080; 0
2; 4; 1; 40320; 1
2; 4; 2; 50320; 0
2; 4; 3; 40620; 0
2; 4; 4; 46580; 0
2; 5; 1; 362880; 1
2; 5; 2; 181440; 0
2; 5; 3; 280000; 0
2; 5; 4; 385600; 0
2; 6; 1; 3628800; 1
2; 6; 2; 3826600; 0
2; 6; 3; 4288600; 0
2; 6; 4; 3008800; 0
2; 7; 1; 39916800; 1
2; 7; 2; 28740011; 0
2; 7; 3; 38806800; 0
2; 7; 4; 39910968; 0
2; 8; 1; 479001600; 1
2; 8; 2; 579001600; 0
2; 8; 3; 379001600; 0
2; 8; 4; 279001600; 0
2; 9; 1; 1932053504; 1
2; 9; 2; 1832053504; 0
2; 9; 3; 2032053504; 0
2; 9; 4; 1732053504; 0
2; 10; 1; 1278945280; 1
2; 10; 2; 1288945280; 0
2; 10; 3; 1248945280; 0
2; 10; 4; 1278940080; 0
2; 11; 1; 2004310016; 1
2; 11; 2; 2005310016; 0
2; 11; 3; 3004310016; 0
2; 11; 4; 2008310016; 0
