// Fragen
// id-kategorie; id-frage; frage
1; 1; wie heißt mein australien shepard (lea)
1; 2; wie heißt der erste pilot des ersten gundam
1; 3; was ist 1 + 1
1; 4; was ist der meißt vertretene Geburtstag in der It Abteiling
1; 5; wie heißt die Hauptstadt von Deutschland
1; 6; wie heißt David seine Katze
2; 1; Stelle die Falkultät 5! als natürliche Zahl dar 
2; 2; Stelle die Falkultät 6! als natürliche Zahl dar
2; 3; Stelle die Falkultät 7! als natürliche Zahl dar
2; 4; Stelle die Falkultät 8! als natürliche Zahl dar
2; 5; Stelle die Falkultät 9! als natürliche Zahl dar
2; 6; Stelle die Falkultät 10! als natürliche Zahl dar
2; 7; Stelle die Falkultät 11! als natürliche Zahl dar
2; 8; Stelle die Falkultät 12! als natürliche Zahl dar
2; 9; Stelle die Falkultät 13! als natürliche Zahl dar
2; 10; Stelle die Falkultät 14! als natürliche Zahl dar
2; 11; Stelle die Falkultät 15! als natürliche Zahl dar
